worker1-1  | 2024/06/04 03:33:54.719 FIG10b: HELLO WORLD I AM ANGRY!
worker1-1  | 2024/06/04 03:33:54.734 FIG10b: Starting tasks submission...
worker1-1  | 2024/06/04 03:33:55.734 FIG10b: Memory usage without flush after 122 tasks: 1012.97265625 MB
worker1-1  | 2024/06/04 03:33:56.736 FIG10b: Memory usage without flush after 243 tasks: 1013.26171875 MB
worker1-1  | [worker] stored...[worker]2024/06/04 03:33:57.744 FIG10b: Memory usage without flush after 367 tasks: 1014.125 MB
worker1-1  | 2024/06/04 03:33:58.747 FIG10b: Memory usage without flush after 473 tasks: 1017.6484375 MB
worker1-1  |  2024/06/04 03:33:59.759 FIG10b: Memory usage without flush after 579 tasks: 1021.41796875 MB
worker1-1  | 2024/06/04 03:34:00.767 2024/06/04 03:34:00.767 FIG10b: Memory usage without flush after 691 tasks: 1022.6875 MB
worker1-1  | Executed!2024/06/04 03:34:01.777 FIG10b: Memory usage without flush after 807 tasks: 1022.875 MB
worker1-1  | 2024/06/04 03:34:02.777 FIG10b: Memory usage without flush after 924 tasks: 1022.78125 MB
worker1-1  | 2024/06/04 03:34:03.785 FIG10b: Memory usage without flush after 1037 tasks: 1026.54296875 MB
worker1-1  | 2024/06/04 03:34:04.793 FIG10b: Memory usage without flush after 1137 tasks: 1025.8046875 MB
worker1-1  |  [worker]2024/06/04 03:34:05.794 FIG10b: Memory usage without flush after 1237 tasks: 1025.7734375 MB
worker1-1  | 2024/06/04 03:34:06.800 FIG10b: Memory usage without flush after 1338 tasks: 1026.49609375 MB
worker1-1  |  2024/06/04 03:34:07.803[worker] FIG10b: Memory usage without flush after 1441 tasks: 1025.46484375 MB 
worker1-1  | [worker] [worker]2024/06/04 03:34:08.809 FIG10b: Memory usage without flush after 1548 tasks: 1025.01171875 MB
worker1-1  | 2024/06/04 03:34:09.812 FIG10b: Memory usage without flush after 1645 tasks: 1025.4765625 MB
worker1-1  | 2024/06/04 03:34:10.816 FIG10b: Memory usage without flush after 1747 tasks: 1025.19140625 MB
worker1-1  | 2024/06/04 03:34:11.822 2024/06/04 03:34:11.823 FIG10b: Memory usage without flush after 1845 tasks: 1026.1015625 MB
worker1-1  | 2024/06/04 03:34:12.826 FIG10b: Memory usage without flush after 1948 tasks: 1025.671875 MB
worker1-1  | 2024/06/04 03:34:13.827 FIG10b: Memory usage without flush after 2043 tasks: 1025.4296875 MB
worker1-1  | 2024/06/04 03:34:14.846 FIG10b: Memory usage without flush after 2140 tasks: 1025.375 MB
worker1-1  |  2024/06/04 03:34:15.847 2024/06/04 03:34:15.847 FIG10b: Memory usage without flush after 2243 tasks: 1025.87890625 MB
worker1-1  | 2024/06/04 03:34:16.855 FIG10b: Memory usage without flush after 2333 tasks: 1026.3203125 MB
worker1-1  | 2024/06/04 03:34:17.865 2024/06/04 03:34:17.866 FIG10b: Memory usage without flush after 2420 tasks: 1025.1640625 MB
worker1-1  | 2024/06/04 03:34:18.872 FIG10b: Memory usage without flush after 2515 tasks: 1030.8359375 MB
worker1-1  | 2024/06/04 03:34:19.881 FIG10b: Memory usage without flush after 2598 tasks: 1035.09765625 MB
worker1-1  | 2024/06/04 03:34:20.8932024/06/04 03:34:20.893 FIG10b: Memory usage without flush after 2693 tasks: 1034.47265625 MB
worker1-1  | 2024/06/04 03:34:21.899 FIG10b: Memory usage without flush after 2791 tasks: 1035.06640625 MB
worker1-1  |  2024/06/04 03:34:22.904 FIG10b: Memory usage without flush after 2911 tasks: 1034.64453125 MB
worker1-1  | 2024/06/04 03:34:23.911 [worker] 2024/06/04 03:34:23.913 FIG10b: Memory usage without flush after 3016 tasks: 1035.40625 MB
worker1-1  | 2024/06/04 03:34:24.915 FIG10b: Memory usage without flush after 3133 tasks: 1034.56640625 MB
worker1-1  |  FIG10b: Memory usage without flush after 3237 tasks: 1035.44140625 MB
worker1-1  | 2024/06/04 03:34:26.925 FIG10b: Memory usage without flush after 3335 tasks: 1037.55859375 MB
worker1-1  |  2024/06/04 03:34:27.934 FIG10b: Memory usage without flush after 3453 tasks: 1038.2890625 MB
worker1-1  | 2024/06/04 03:34:28.955 FIG10b: Memory usage without flush after 3562 tasks: 1039.37109375 MB
worker1-1  |  FIG10b: Memory usage without flush after 3653 tasks: 1039.29296875 MB
worker1-1  | 2024/06/04 03:34:30.965 FIG10b: Memory usage without flush after 3764 tasks: 1039.109375 MB
worker1-1  | [worker]2024/06/04 03:34:31.978 [worker]2024/06/04 03:34:31.979  FIG10b: Memory usage without flush after 3879 tasks: 1039.41796875 MB
worker1-1  | 2024/06/04 03:34:32.9932024/06/04 03:34:32.993 FIG10b: Memory usage without flush after 3978 tasks: 1039.7734375 MB
worker1-1  | 2024/06/04 03:34:33.9982024/06/04 03:34:33.998 FIG10b: Memory usage without flush after 4071 tasks: 1039.69921875 MB
worker1-1  | 2024/06/04 03:34:35.0012024/06/04 03:34:35.001 FIG10b: Memory usage without flush after 4171 tasks: 1039.90234375 MB
worker1-1  | 2024/06/04 03:34:36.0022024/06/04 03:34:36.003 FIG10b: Memory usage without flush after 4294 tasks: 1039.9453125 MB
worker1-1  | 2024/06/04 03:34:37.010 FIG10b: Memory usage without flush after 4403 tasks: 1046.2890625 MB
worker1-1  | 2024/06/04 03:34:38.0342024/06/04 03:34:38.035 FIG10b: Memory usage without flush after 4505 tasks: 1047.60546875 MB
worker1-1  | took this many seconds: 0.03362024/06/04 03:34:39.036 FIG10b: Memory usage without flush after 4620 tasks: 1047.2734375 MB
worker1-1  | 2024/06/04 03:34:40.0362024/06/04 03:34:40.0362024/06/04 03:34:40.036 FIG10b: Memory usage without flush after 4737 tasks: 1047.328125 MB
worker1-1  | 2024/06/04 03:34:41.042  2024/06/04 03:34:41.042 FIG10b: Memory usage without flush after 4845 tasks: 1048.1328125 MB
worker1-1  |  2024/06/04 03:34:42.052 FIG10b: Memory usage without flush after 4965 tasks: 1049.14453125 MB
worker1-1  | 2024/06/04 03:34:43.052 FIG10b: Memory usage without flush after 5063 tasks: 1050.30078125 MB
worker1-1  | 2024/06/04 03:34:44.061 FIG10b: Memory usage without flush after 5153 tasks: 1050.24609375 MB
