worker1-1  | 2024/06/04 01:44:07.510 FIG10b: HELLO WORLD I AM ANGRY!
worker1-1  | 2024/06/04 01:44:07.524 FIG10b: Starting tasks submission without GCS flushing...
worker1-1  | 2024/06/04 01:44:08.529 FIG10b: Memory usage without flush after 123 tasks: 970.90234375 MB
worker1-1  | 2024/06/04 01:44:09.530 FIG10b: Memory usage without flush after 245 tasks: 977.0 MB
worker1-1  | 2024/06/04 01:44:10.533 FIG10b: Memory usage without flush after 373 tasks: 986.859375 MB
worker1-1  | 2024/06/04 01:44:11.533 FIG10b: Memory usage without flush after 500 tasks: 987.625 MB
worker1-1  | 2024/06/04 01:44:12.538 FIG10b: Memory usage without flush after 622 tasks: 989.30078125 MB
worker1-1  | 2024/06/04 01:44:13.542 [worker]2024/06/04 01:44:13.544 FIG10b: Memory usage without flush after 750 tasks: 990.41015625 MB
worker1-1  |  2024/06/04 01:44:14.551 FIG10b: Memory usage without flush after 862 tasks: 991.5859375 MB
worker1-1  | 2024/06/04 01:44:15.558 FIG10b: Memory usage without flush after 980 tasks: 991.37109375 MB
worker1-1  | 2024/06/04 01:44:16.561 2024/06/04 01:44:16.562 FIG10b: Memory usage without flush after 1106 tasks: 997.9453125 MB
worker1-1  | stored... 2024/06/04 01:44:17.564 FIG10b: Memory usage without flush after 1222 tasks: 998.30859375 MB
worker1-1  |  2024/06/04 01:44:18.565 FIG10b: Memory usage without flush after 1339 tasks: 999.69140625 MB
worker1-1  | 2024/06/04 01:44:19.571 FIG10b: Memory usage without flush after 1449 tasks: 999.6328125 MB
worker1-1  | 2024/06/04 01:44:20.578 [worker] 2024/06/04 01:44:20.578 FIG10b: Memory usage without flush after 1574 tasks: 999.58203125 MB
worker1-1  |  2024/06/04 01:44:21.582 FIG10b: Memory usage without flush after 1697 tasks: 1001.9453125 MB
worker1-1  | 2024/06/04 01:44:22.593 2024/06/04 01:44:22.593[worker] FIG10b: Memory usage without flush after 1829 tasks: 1002.6328125 MB
worker1-1  | 2024/06/04 01:44:23.603 FIG10b: Memory usage without flush after 1961 tasks: 1002.921875 MB
worker1-1  | 2024/06/04 01:44:24.613 2024/06/04 01:44:24.614 FIG10b: Memory usage without flush after 2088 tasks: 1003.82421875 MB
worker1-1  | FIG10b: Memory usage without flush after 2213 tasks: 1003.9140625 MB
worker1-1  | 2024/06/04 01:44:26.620 FIG10b: Memory usage without flush after 2332 tasks: 1003.6015625 MB
worker1-1  | 2024/06/04 01:44:27.620 FIG10b: Memory usage without flush after 2460 tasks: 1005.21875 MB
worker1-1  | 2024/06/04 01:44:28.620 FIG10b: Memory usage without flush after 2586 tasks: 1004.91015625 MB
worker1-1  | 2024/06/04 01:44:29.622in Run() rn FIG10b: Memory usage without flush after 2715 tasks: 1006.0546875 MB
worker1-1  | 2024/06/04 01:44:30.623 2024/06/04 01:44:30.623 FIG10b: Memory usage without flush after 2838 tasks: 1007.6953125 MB
worker1-1  | 2024/06/04 01:44:31.6322024/06/04 01:44:31.632 FIG10b: Memory usage without flush after 2965 tasks: 1006.2734375 MB
worker1-1  |  2024/06/04 01:44:32.635 FIG10b: Memory usage without flush after 3088 tasks: 1010.0390625 MB
worker1-1  |  [worker] 2024/06/04 01:44:33.639 FIG10b: Memory usage without flush after 3141 tasks: 1014.9296875 MB
worker1-1  | 2024/06/04 01:44:34.655 FIG10b: Memory usage without flush after 3205 tasks: 1013.94140625 MB
worker1-1  |  FIG10b: Memory usage without flush after 3296 tasks: 1013.73828125 MB
worker1-1  | 2024/06/04 01:44:36.6602024/06/04 01:44:36.660 FIG10b: Memory usage without flush after 3420 tasks: 1013.67578125 MB
worker1-1  | [worker] 2024/06/04 01:44:37.662 2024/06/04 01:44:37.662 FIG10b: Memory usage without flush after 3548 tasks: 1014.49609375 MB
worker1-1  | 2024/06/04 01:44:38.734 FIG10b: Memory usage without flush after 3603 tasks: 1018.734375 MB
worker1-1  | 2024/06/04 01:44:39.971 FIG10b: Memory usage without flush after 3649 tasks: 1018.75390625 MB
worker1-1  | 2024/06/04 01:44:40.893 FIG10b: Memory usage without flush after 3658 tasks: 1018.98828125 MB
worker1-1  | 2024/06/04 01:44:41.889 FIG10b: Memory usage without flush after 3728 tasks: 1019.6015625 MB
worker1-1  | 2024/06/04 01:44:42.891 FIG10b: Memory usage without flush after 3778 tasks: 1023.62109375 MB
worker1-1  | 2024/06/04 01:44:43.896 FIG10b: Memory usage without flush after 3852 tasks: 1023.48046875 MB
worker1-1  | 2024/06/04 01:44:44.901 FIG10b: Memory usage without flush after 3965 tasks: 1023.890625 MB
worker1-1  | 2024/06/04 01:44:45.907 FIG10b: Memory usage without flush after 4067 tasks: 1024.66015625 MB
worker1-1  | 2024/06/04 01:44:46.908 FIG10b: Memory usage without flush after 4182 tasks: 1025.2265625 MB
worker1-1  | 2024/06/04 01:44:47.913 FIG10b: Memory usage without flush after 4292 tasks: 1024.94140625 MB
worker1-1  | 2024/06/04 01:44:48.9162024/06/04 01:44:48.916 FIG10b: Memory usage without flush after 4402 tasks: 1025.671875 MB
worker1-1  | 2024/06/04 01:44:49.917 FIG10b: Memory usage without flush after 4514 tasks: 1026.1484375 MB
worker1-1  | 2024/06/04 01:44:50.929 FIG10b: Memory usage without flush after 4618 tasks: 1025.8984375 MB
worker1-1  | FIG10b: Memory usage without flush after 4729 tasks: 1025.9140625 MB
worker1-1  |  2024/06/04 01:44:52.9382024/06/04 01:44:52.938 FIG10b: Memory usage without flush after 4842 tasks: 1017.90234375 MB
worker1-1  |  2024/06/04 01:44:53.946 FIG10b: Memory usage without flush after 4971 tasks: 1022.25 MB
worker1-1  | 2024/06/04 01:44:54.955 FIG10b: Memory usage without flush after 5089 tasks: 1021.984375 MB
