worker1-1  | 2024/06/04 05:02:07.015 FIG10b: HELLO WORLD I AM ANGRY!
worker1-1  | 2024/06/04 05:02:07.040 FIG10b: Starting tasks submission...
worker1-1  | 2024/06/04 05:02:08.045 FIG10b: Memory usage without flush after 99 tasks: 1046.09765625 MB
worker1-1  |  2024/06/04 05:02:09.053 FIG10b: Memory usage without flush after 190 tasks: 1047.3203125 MB
worker1-1  | 2024/06/04 05:02:10.057 FIG10b: Memory usage without flush after 293 tasks: 1038.96484375 MB
worker1-1  | 2024/06/04 05:02:11.060 FIG10b: Memory usage without flush after 409 tasks: 1044.33203125 MB
worker1-1  | 2024/06/04 05:02:12.069 FIG10b: Memory usage without flush after 526 tasks: 1049.59375 MB
worker1-1  |  2024/06/04 05:02:13.069 FIG10b: Memory usage without flush after 639 tasks: 1055.1796875 MB
worker1-1  | 2024/06/04 05:02:14.072 2024/06/04 05:02:14.074[worker] FIG10b: Memory usage without flush after 753 tasks: 1056.06640625 MB
worker1-1  | 2024/06/04 05:02:15.084 FIG10b: Memory usage without flush after 865 tasks: 1055.5078125 MB
worker1-1  | 2024/06/04 05:02:16.088 FIG10b: Memory usage without flush after 990 tasks: 1055.58203125 MB
worker1-1  | 2024/06/04 05:02:17.094[worker] FIG10b: Memory usage without flush after 1077 tasks: 1056.84375 MB
worker1-1  | 2024/06/04 05:02:18.099 FIG10b: Memory usage without flush after 1170 tasks: 1057.578125 MB
worker1-1  | 2024/06/04 05:02:19.109 FIG10b: Memory usage without flush after 1279 tasks: 1057.734375 MB
worker1-1  | 2024/06/04 05:02:20.128 FIG10b: Memory usage without flush after 1372 tasks: 1059.52734375 MB
worker1-1  | 2024/06/04 05:02:21.134 FIG10b: Memory usage without flush after 1459 tasks: 1060.06640625 MB
worker1-1  | [worker] stored...  [worker]2024/06/04 05:02:22.146 FIG10b: Memory usage without flush after 1537 tasks: 1060.64453125 MB
worker1-1  | 2024/06/04 05:02:23.153 FIG10b: Memory usage without flush after 1630 tasks: 1061.59375 MB
