worker1-1  | 2024/06/04 17:11:16.070 FIG10b: HELLO WORLD I AM ANGRY!
worker1-1  | 2024/06/04 17:11:16.080 FIG10b: Starting tasks submission...
worker1-1  | 2024/06/04 17:11:17.088 FIG10b: Memory usage without flush after 126 tasks: 771.67578125 MB
worker1-1  | 2024/06/04 17:11:18.095 FIG10b: Memory usage without flush after 249 tasks: 772.46484375 MB
worker1-1  | 2024/06/04 17:11:19.103 FIG10b: Memory usage without flush after 369 tasks: 777.73046875 MB
worker1-1  | 2024/06/04 17:11:20.1102024/06/04 17:11:20.110 FIG10b: Memory usage without flush after 501 tasks: 778.734375 MB
worker1-1  | 2024/06/04 17:11:21.113 FIG10b: Memory usage without flush after 628 tasks: 780.4921875 MB
worker1-1  | 2024/06/04 17:11:22.118 2024/06/04 17:11:22.119 FIG10b: Memory usage without flush after 761 tasks: 781.50390625 MB
worker1-1  |  2024/06/04 17:11:23.125 2024/06/04 17:11:23.126 FIG10b: Memory usage without flush after 894 tasks: 783.9140625 MB
worker1-1  | 2024/06/04 17:11:24.133 FIG10b: Memory usage without flush after 1013 tasks: 784.97265625 MB
worker1-1  | 2024/06/04 17:11:25.1402024/06/04 17:11:25.140 FIG10b: Memory usage without flush after 1145 tasks: 785.98828125 MB
worker1-1  | 2024/06/04 17:11:26.149 2024/06/04 17:11:26.149 FIG10b: Memory usage without flush after 1264 tasks: 786.765625 MB
worker1-1  | 2024/06/04 17:11:27.150 FIG10b: Memory usage without flush after 1397 tasks: 791.703125 MB2024/06/04 17:11:27.151 [lobs] WERE GONNA CREATE A /DEV FILE WITH THIS NAME: /dev/shm/5157570045114249705
worker1-1  | 2024/06/04 17:11:28.164 FIG10b: Memory usage without flush after 1522 tasks: 792.44921875 MB
worker1-1  | 2024/06/04 17:11:29.165 FIG10b: Memory usage without flush after 1640 tasks: 792.2421875 MB
worker1-1  |  2024/06/04 17:11:30.167[worker] FIG10b: Memory usage without flush after 1766 tasks: 798.19921875 MB
worker1-1  | 2024/06/04 17:11:31.176 FIG10b: Memory usage without flush after 1892 tasks: 798.71484375 MB
worker1-1  | 2024/06/04 17:11:32.178  took this many seconds: 0.00527FIG10b: Memory usage without flush after 2022 tasks: 799.47265625 MB
worker1-1  |   2024/06/04 17:11:33.1862024/06/04 17:11:33.186took this many seconds: 0.0114in Run() rn FIG10b: Memory usage without flush after 2151 tasks: 799.859375 MB
worker1-1  | 2024/06/04 17:11:34.188 FIG10b: Memory usage without flush after 2283 tasks: 799.8671875 MB
worker1-1  | 2024/06/04 17:11:35.192 FIG10b: Memory usage without flush after 2415 tasks: 804.99609375 MB
worker1-1  |  [worker] Executed!2024/06/04 17:11:36.199 FIG10b: Memory usage without flush after 2542 tasks: 804.78515625 MB
worker1-1  | 2024/06/04 17:11:37.200 FIG10b: Memory usage without flush after 2669 tasks: 805.52734375 MB
worker1-1  | 2024/06/04 17:11:38.205 FIG10b: Memory usage without flush after 2803 tasks: 806.2421875 MB
worker1-1  | 2024/06/04 17:11:39.211 2024/06/04 17:11:39.211 [worker]2024/06/04 17:11:39.2122024/06/04 17:11:39.212 FIG10b: Memory usage without flush after 2929 tasks: 811.859375 MB
worker1-1  | 2024/06/04 17:11:40.2132024/06/04 17:11:40.213 FIG10b: Memory usage without flush after 3056 tasks: 813.1015625 MB
worker1-1  | 2024/06/04 17:11:41.218 FIG10b: Memory usage without flush after 3185 tasks: 818.4453125 MB
worker1-1  | 2024/06/04 17:11:42.225 FIG10b: Memory usage without flush after 3321 tasks: 819.41796875 MB
worker1-1  | 2024/06/04 17:11:43.230 FIG10b: Memory usage without flush after 3449 tasks: 820.62890625 MB
worker1-1  | 2024/06/04 17:11:44.234 FIG10b: Memory usage without flush after 3581 tasks: 820.8046875 MB
worker1-1  | 2024/06/04 17:11:45.235 FIG10b: Memory usage without flush after 3710 tasks: 821.234375 MB
worker1-1  |  [worker][worker] 2024/06/04 17:11:46.238 FIG10b: Memory usage without flush after 3830 tasks: 821.2890625 MB
worker1-1  |   2024/06/04 17:11:47.243 FIG10b: Memory usage without flush after 3953 tasks: 821.52734375 MB
worker1-1  |  2024/06/04 17:11:48.249[worker] 2024/06/04 17:11:48.250 FIG10b: Memory usage without flush after 4081 tasks: 822.03125 MB
worker1-1  | 2024/06/04 17:11:49.2552024/06/04 17:11:49.256 FIG10b: Memory usage without flush after 4204 tasks: 822.7578125 MB
worker1-1  | 2024/06/04 17:11:50.262 FIG10b: Memory usage without flush after 4329 tasks: 823.5234375 MB
worker1-1  |  2024/06/04 17:11:51.266 FIG10b: Memory usage without flush after 4446 tasks: 823.375 MB
worker1-1  | 2024/06/04 17:11:52.278 2024/06/04 17:11:52.278 FIG10b: Memory usage without flush after 4574 tasks: 823.78125 MB
worker1-1  | 2024/06/04 17:11:53.287 FIG10b: Memory usage without flush after 4708 tasks: 824.54296875 MB
worker1-1  | 2024/06/04 17:11:54.287 FIG10b: Memory usage without flush after 4834 tasks: 824.58984375 MB
worker1-1  | 2024/06/04 17:11:55.293 FIG10b: Memory usage without flush after 4964 tasks: 824.53515625 MB
worker1-1  | 2024/06/04 17:11:56.300 FIG10b: Memory usage without flush after 5104 tasks: 833.94140625 MB
worker1-1  | 2024/06/04 17:11:57.309 FIG10b: Memory usage without flush after 5233 tasks: 833.9296875 MB
worker1-1  |  2024/06/04 17:11:58.309 FIG10b: Memory usage without flush after 5366 tasks: 837.75 MB
worker1-1  | 2024/06/04 17:11:59.312 FIG10b: Memory usage without flush after 5482 tasks: 833.55859375 MB
worker1-1  | 2024/06/04 17:12:00.3132024/06/04 17:12:00.314 FIG10b: Memory usage without flush after 5612 tasks: 838.21875 MB
worker1-1  | 2024/06/04 17:12:01.319 FIG10b: Memory usage without flush after 5740 tasks: 838.6328125 MB
worker1-1  | 2024/06/04 17:12:02.3242024/06/04 17:12:02.325 FIG10b: Memory usage without flush after 5872 tasks: 839.59375 MB
worker1-1  | 2024/06/04 17:12:03.325 FIG10b: Memory usage without flush after 6004 tasks: 840.375 MB
worker1-1  | 2024/06/04 17:12:04.331  2024/06/04 17:12:04.332 FIG10b: Memory usage without flush after 6134 tasks: 840.078125 MB
worker1-1  | 2024/06/04 17:12:05.335 FIG10b: Memory usage without flush after 6256 tasks: 841.01953125 MB
worker1-1  | 2024/06/04 17:12:06.3352024/06/04 17:12:06.335 FIG10b: Memory usage without flush after 6386 tasks: 841.3125 MB
worker1-1  | 2024/06/04 17:12:07.338 2024/06/04 17:12:07.338 FIG10b: Memory usage without flush after 6513 tasks: 841.9609375 MB
worker1-1  | 2024/06/04 17:12:08.3442024/06/04 17:12:08.344 FIG10b: Memory usage without flush after 6642 tasks: 841.26171875 MB
worker1-1  | 2024/06/04 17:12:09.350  2024/06/04 17:12:09.351 FIG10b: Memory usage without flush after 6774 tasks: 841.546875 MB
worker1-1  | 2024/06/04 17:12:10.356 FIG10b: Memory usage without flush after 6904 tasks: 842.140625 MB
worker1-1  | 2024/06/04 17:12:11.361 FIG10b: Memory usage without flush after 7030 tasks: 842.35546875 MB
worker1-1  | 2024/06/04 17:12:12.366 FIG10b: Memory usage without flush after 7164 tasks: 842.37890625 MB
worker1-1  | 2024/06/04 17:12:13.3722024/06/04 17:12:13.373 FIG10b: Memory usage without flush after 7302 tasks: 842.95703125 MB
worker1-1  |  [worker] 2024/06/04 17:12:14.374 FIG10b: Memory usage without flush after 7427 tasks: 843.984375 MB
worker1-1  | 2024/06/04 17:12:15.383 FIG10b: Memory usage without flush after 7558 tasks: 843.76953125 MB
worker1-1  | 2024/06/04 17:12:16.390 FIG10b: Memory usage without flush after 7683 tasks: 845.1796875 MB
worker1-1  | 2024/06/04 17:12:17.394 FIG10b: Memory usage without flush after 7812 tasks: 844.82421875 MB
worker1-1  | 2024/06/04 17:12:18.398 FIG10b: Memory usage without flush after 7949 tasks: 845.65625 MB
worker1-1  | 2024/06/04 17:12:19.410 FIG10b: Memory usage without flush after 8088 tasks: 845.83203125 MB
worker1-1  | 2024/06/04 17:12:20.4232024/06/04 17:12:20.423 FIG10b: Memory usage without flush after 8218 tasks: 845.875 MB
worker1-1  |  2024/06/04 17:12:21.4262024/06/04 17:12:21.426 FIG10b: Memory usage without flush after 8348 tasks: 848.12109375 MB
worker1-1  | 2024/06/04 17:12:22.429 FIG10b: Memory usage without flush after 8474 tasks: 848.828125 MB
worker1-1  | took this many seconds: 0.007982024/06/04 17:12:23.4332024/06/04 17:12:23.433 FIG10b: Memory usage without flush after 8600 tasks: 849.41015625 MB
worker1-1  | 2024/06/04 17:12:24.434 FIG10b: Memory usage without flush after 8725 tasks: 850.30078125 MB
worker1-1  | 2024/06/04 17:12:25.438 FIG10b: Memory usage without flush after 8841 tasks: 851.3046875 MB
worker1-1  | 2024/06/04 17:12:26.443 FIG10b: Memory usage without flush after 8959 tasks: 851.3515625 MB
worker1-1  | 2024/06/04 17:12:27.445 FIG10b: Memory usage without flush after 9095 tasks: 852.7578125 MB
worker1-1  | 2024/06/04 17:12:28.457 FIG10b: Memory usage without flush after 9226 tasks: 853.6328125 MB
worker1-1  | 2024/06/04 17:12:29.458 FIG10b: Memory usage without flush after 9353 tasks: 854.24609375 MB
worker1-1  | FIG10b: Memory usage without flush after 9487 tasks: 854.7890625 MB 
worker1-1  |   2024/06/04 17:12:31.473 FIG10b: Memory usage without flush after 9616 tasks: 855.4375 MB
worker1-1  | 2024/06/04 17:12:32.480 FIG10b: Memory usage without flush after 9756 tasks: 855.609375 MB
worker1-1  | 2024/06/04 17:12:33.491 FIG10b: Memory usage without flush after 9894 tasks: 855.484375 MB
worker1-1  |  FIG10b: Memory usage without flush after 10030 tasks: 856.63671875 MB
worker1-1  | 2024/06/04 17:12:35.495 FIG10b: Memory usage without flush after 10169 tasks: 857.609375 MB
worker1-1  |   2024/06/04 17:12:36.496 FIG10b: Memory usage without flush after 10298 tasks: 858.7734375 MB
worker1-1  | 2024/06/04 17:12:37.499 FIG10b: Memory usage without flush after 10432 tasks: 859.19140625 MB
worker1-1  | 2024/06/04 17:12:38.504 FIG10b: Memory usage without flush after 10563 tasks: 859.2421875 MB
worker1-1  | [worker] 2024/06/04 17:12:39.508 FIG10b: Memory usage without flush after 10700 tasks: 860.328125 MB
worker1-1  | [worker]2024/06/04 17:12:40.515 FIG10b: Memory usage without flush after 10829 tasks: 860.34765625 MB
worker1-1  | 2024/06/04 17:12:41.517 FIG10b: Memory usage without flush after 10960 tasks: 867.90234375 MB
worker1-1  | 2024/06/04 17:12:42.522 2024/06/04 17:12:42.522FIG10b: Memory usage without flush after 11093 tasks: 868.18359375 MB 
worker1-1  | 2024/06/04 17:12:43.5222024/06/04 17:12:43.523 FIG10b: Memory usage without flush after 11225 tasks: 868.25 MB[worker]
worker1-1  | 2024/06/04 17:12:44.530 2024/06/04 17:12:44.531 FIG10b: Memory usage without flush after 11360 tasks: 868.62890625 MB
worker1-1  | 2024/06/04 17:12:45.536 FIG10b: Memory usage without flush after 11490 tasks: 869.44921875 MB
worker1-1  |  FIG10b: Memory usage without flush after 11618 tasks: 871.24609375 MB
worker1-1  |  gonna store now2024/06/04 17:12:47.548 2024/06/04 17:12:47.548 FIG10b: Memory usage without flush after 11756 tasks: 871.8515625 MB
worker1-1  | 2024/06/04 17:12:48.554Executed!2024/06/04 17:12:48.555 FIG10b: Memory usage without flush after 11897 tasks: 876.53125 MB
worker1-1  | 2024/06/04 17:12:49.556 FIG10b: Memory usage without flush after 12034 tasks: 878.81640625 MB
worker1-1  | [worker] gonna store now2024/06/04 17:12:50.557 FIG10b: Memory usage without flush after 12161 tasks: 878.62109375 MB
worker1-1  | 2024/06/04 17:12:51.562 [worker]2024/06/04 17:12:51.563 FIG10b: Memory usage without flush after 12297 tasks: 879.7421875 MB
worker1-1  | 2024/06/04 17:12:52.568 FIG10b: Memory usage without flush after 12428 tasks: 880.1171875 MB
worker1-1  | 2024/06/04 17:12:53.576 FIG10b: Memory usage without flush after 12565 tasks: 880.9609375 MB
worker1-1  | 2024/06/04 17:12:54.588 [worker]2024/06/04 17:12:54.588  FIG10b: Memory usage without flush after 12703 tasks: 880.77734375 MB
worker1-1  | 2024/06/04 17:12:55.5912024/06/04 17:12:55.591 FIG10b: Memory usage without flush after 12835 tasks: 880.2109375 MB
worker1-1  | 2024/06/04 17:12:56.598 2024/06/04 17:12:56.598 FIG10b: Memory usage without flush after 12971 tasks: 882.234375 MB
worker1-1  | 2024/06/04 17:12:57.600 2024/06/04 17:12:57.600 FIG10b: Memory usage without flush after 13118 tasks: 881.69921875 MB
worker1-1  | 2024/06/04 17:12:58.605 FIG10b: Memory usage without flush after 13250 tasks: 882.234375 MB
worker1-1  | 2024/06/04 17:12:59.605 FIG10b: Memory usage without flush after 13387 tasks: 882.9921875 MB
worker1-1  | 2024/06/04 17:13:00.605 2024/06/04 17:13:00.606 FIG10b: Memory usage without flush after 13517 tasks: 883.83984375 MB
worker1-1  | 2024/06/04 17:13:01.608 [worker] in Run() rn2024/06/04 17:13:01.608 FIG10b: Memory usage without flush after 13647 tasks: 884.6875 MB
worker1-1  | 2024/06/04 17:13:02.612 2024/06/04 17:13:02.612 FIG10b: Memory usage without flush after 13784 tasks: 886.5 MB
worker1-1  | 2024/06/04 17:13:03.6182024/06/04 17:13:03.618 FIG10b: Memory usage without flush after 13909 tasks: 887.3125 MB 
worker1-1  | 2024/06/04 17:13:04.6192024/06/04 17:13:04.620 FIG10b: Memory usage without flush after 14044 tasks: 887.86328125 MB
