worker1-1  | 2024/06/04 17:51:35.961 FIG10b: HELLO WORLD I AM ANGRY!
worker1-1  | 2024/06/04 17:51:36.000 FIG10b: Starting tasks submission...
worker1-1  | 2024/06/04 17:51:37.003 FIG10b: Memory usage without flush after 111 tasks: 1066.48046875 MB
worker1-1  | 2024/06/04 17:51:38.0042024/06/04 17:51:38.005 FIG10b: Memory usage without flush after 225 tasks: 1080.74609375 MB
worker1-1  | Executed!2024/06/04 17:51:39.009 FIG10b: Memory usage without flush after 341 tasks: 1081.58203125 MB
worker1-1  | 2024/06/04 17:51:40.011 FIG10b: Memory usage without flush after 461 tasks: 1082.59765625 MB
worker1-1  | 2024/06/04 17:51:41.024 FIG10b: Memory usage without flush after 575 tasks: 1087.3671875 MB
worker1-1  |  FIG10b: Memory usage without flush after 686 tasks: 1092.6953125 MB
worker1-1  |  FIG10b: Memory usage without flush after 801 tasks: 1094.02734375 MB
worker1-1  | 2024/06/04 17:51:44.051 FIG10b: Memory usage without flush after 905 tasks: 1093.44921875 MB
worker1-1  | 2024/06/04 17:51:45.053 FIG10b: Memory usage without flush after 1009 tasks: 1094.83984375 MB
worker1-1  | 2024/06/04 17:51:46.054 FIG10b: Memory usage without flush after 1105 tasks: 1096.97265625 MB
worker1-1  | 2024/06/04 17:51:47.062 FIG10b: Memory usage without flush after 1226 tasks: 1100.5546875 MB
worker1-1  |  [worker]2024/06/04 17:51:48.063 FIG10b: Memory usage without flush after 1343 tasks: 1101.35546875 MB
worker1-1  | 2024/06/04 17:51:49.071 FIG10b: Memory usage without flush after 1451 tasks: 1103.0859375 MB
worker1-1  | 2024/06/04 17:51:50.074 FIG10b: Memory usage without flush after 1577 tasks: 1103.578125 MB
worker1-1  | [worker] 2024/06/04 17:51:51.076 FIG10b: Memory usage without flush after 1696 tasks: 1104.5546875 MB
worker1-1  | 2024/06/04 17:51:52.077 FIG10b: Memory usage without flush after 1803 tasks: 1105.09375 MB
worker1-1  | 2024/06/04 17:51:53.079 FIG10b: Memory usage without flush after 1927 tasks: 1104.55078125 MB
worker1-1  | [worker] 2024/06/04 17:51:54.079 FIG10b: Memory usage without flush after 2036 tasks: 1105.546875 MB
worker1-1  | [worker] stored...2024/06/04 17:51:55.113 FIG10b: Memory usage without flush after 2151 tasks: 1110.0390625 MB
worker1-1  | stored...2024/06/04 17:51:56.116 FIG10b: Memory usage without flush after 2238 tasks: 1110.578125 MB
worker1-1  | 2024/06/04 17:51:57.119 FIG10b: Memory usage without flush after 2354 tasks: 1109.95703125 MB
worker1-1  | 2024/06/04 17:51:58.1212024/06/04 17:51:58.121 FIG10b: Memory usage without flush after 2437 tasks: 1109.3125 MB
