gcs-1  | 2024/06/04 18:35:55.978 0.4712982177734375
gcs-1  | 2024/06/04 18:36:00.979 0.6151580810546875
gcs-1  | 2024/06/04 18:36:05.980 0.730987548828125
gcs-1  | 2024/06/04 18:36:10.980 0.8366241455078125
gcs-1  | 2024/06/04 18:36:15.982 0.7630157470703125
gcs-1  | 2024/06/04 18:36:20.984 0.8029861450195312
gcs-1  | 2024/06/04 18:36:25.985 0.806304931640625
gcs-1  | 2024/06/04 18:36:30.986 0.9662704467773438
gcs-1  | 2024/06/04 18:36:35.986 0.882080078125
gcs-1  | 2024/06/04 18:36:40.990 0.8871078491210938
gcs-1  | 2024/06/04 18:36:45.991 0.8853683471679688
gcs-1  | 2024/06/04 18:36:50.992 0.8856353759765625
gcs-1  | 2024/06/04 18:36:55.993 0.903106689453125
gcs-1  | 2024/06/04 18:37:00.994 1.2060394287109375
gcs-1  | 2024/06/04 18:37:05.995 1.0459136962890625
gcs-1  | 2024/06/04 18:37:10.998 1.0422439575195312
gcs-1  | 2024/06/04 18:37:16.001 1.0460891723632812
gcs-1  | 2024/06/04 18:37:21.002 1.0367889404296875
gcs-1  | 2024/06/04 18:37:26.005 1.0477371215820312
gcs-1  | 2024/06/04 18:37:31.007 1.0630111694335938
gcs-1  | 2024/06/04 18:37:36.008 1.0644607543945312
gcs-1  | 2024/06/04 18:37:41.008 1.06597900390625
gcs-1  | 2024/06/04 18:37:46.010 1.07586669921875
gcs-1  | 2024/06/04 18:37:51.010 1.0880126953125
gcs-1  | 2024/06/04 18:37:56.011 1.7011642456054688
gcs-1  | 2024/06/04 18:38:01.012 1.6937637329101562
gcs-1  | 2024/06/04 18:38:06.015 1.35693359375
gcs-1  | 2024/06/04 18:38:11.016 1.3575210571289062
gcs-1  | 2024/06/04 18:38:16.016 1.3592376708984375
gcs-1  | 2024/06/04 18:38:21.017 1.355438232421875
gcs-1  | 2024/06/04 18:38:26.018 1.3642654418945312
gcs-1  | 2024/06/04 18:38:31.019 1.3612899780273438
gcs-1  | 2024/06/04 18:38:36.020 1.35736083984375
gcs-1  | 2024/06/04 18:38:41.021 1.36566162109375
gcs-1  | 2024/06/04 18:38:46.025 1.3725051879882812
gcs-1  | 2024/06/04 18:38:51.027 1.3767852783203125
gcs-1  | 2024/06/04 18:38:56.028 1.3851394653320312
gcs-1  | 2024/06/04 18:39:01.029 1.391815185546875
gcs-1  | 2024/06/04 18:39:06.030 1.3970184326171875
gcs-1  | 2024/06/04 18:39:11.032 1.4043045043945312
gcs-1  | 2024/06/04 18:39:16.034 1.413177490234375
gcs-1  | 2024/06/04 18:39:21.034 1.4253005981445312
gcs-1  | 2024/06/04 18:39:26.036 1.4256057739257812
gcs-1  | 2024/06/04 18:39:31.038 1.4508438110351562
gcs-1  | 2024/06/04 18:39:36.038 1.4605636596679688
gcs-1  | 2024/06/04 18:39:41.040 2.6618728637695312
gcs-1  | 2024/06/04 18:39:46.042 2.6613845825195312
gcs-1  | 2024/06/04 18:39:51.043 2.6645889282226562
gcs-1  | 2024/06/04 18:39:56.044 2.64996337890625
gcs-1  | 2024/06/04 18:40:01.046 2.6588897705078125
gcs-1  | 2024/06/04 18:40:06.048 1.9665908813476562
gcs-1  | 2024/06/04 18:40:11.049 1.9753646850585938
gcs-1  | 2024/06/04 18:40:16.050 1.9753799438476562
gcs-1  | 2024/06/04 18:40:21.050 1.9930038452148438
gcs-1  | 2024/06/04 18:40:26.051 1.9843673706054688
gcs-1  | 2024/06/04 18:40:31.052 1.9817047119140625
gcs-1  | 2024/06/04 18:40:36.053 1.9836349487304688
gcs-1  | 2024/06/04 18:40:41.053 1.9745941162109375
gcs-1  | 2024/06/04 18:40:46.057 1.9837646484375
gcs-1  | 2024/06/04 18:40:51.059 1.9785537719726562
gcs-1  | 2024/06/04 18:40:56.059 1.990203857421875
gcs-1  | 2024/06/04 18:41:01.061 1.7728424072265625
gcs-1  | 2024/06/04 18:41:06.063 1.79400634765625
gcs-1  | 2024/06/04 18:41:11.065 1.7856674194335938
gcs-1  | 2024/06/04 18:41:16.066 1.793914794921875
gcs-1  | 2024/06/04 18:41:21.067 1.7599563598632812
gcs-1  | 2024/06/04 18:41:26.069 1.794189453125
gcs-1  | 2024/06/04 18:41:31.070 1.7983551025390625
gcs-1  | 2024/06/04 18:41:36.072 1.7949447631835938
gcs-1  | 2024/06/04 18:41:41.073 1.8064117431640625
gcs-1  | 2024/06/04 18:41:46.077 1.8233795166015625
gcs-1  | 2024/06/04 18:41:51.079 1.81158447265625
gcs-1  | 2024/06/04 18:41:56.080 1.8395156860351562
gcs-1  | 2024/06/04 18:42:01.081 1.827056884765625
gcs-1  | 2024/06/04 18:42:06.082 1.8432846069335938
gcs-1  | 2024/06/04 18:42:11.083 1.8462371826171875
gcs-1  | 2024/06/04 18:42:16.083 1.8495559692382812
gcs-1  | 2024/06/04 18:42:21.084 1.8671875
gcs-1  | 2024/06/04 18:42:26.085 1.8811187744140625
gcs-1  | 2024/06/04 18:42:31.086 1.895721435546875
gcs-1  | 2024/06/04 18:42:36.087 1.8936309814453125
gcs-1  | 2024/06/04 18:42:41.088 1.8928680419921875
gcs-1  | 2024/06/04 18:42:46.093 1.9055862426757812
gcs-1  | 2024/06/04 18:42:51.094 1.9277496337890625
gcs-1  | 2024/06/04 18:42:56.095 1.9287490844726562
gcs-1  | 2024/06/04 18:43:01.097 1.937286376953125
gcs-1  | 2024/06/04 18:43:06.097 1.9503936767578125
gcs-1  | 2024/06/04 18:43:11.099 1.9545745849609375
gcs-1  | 2024/06/04 18:43:16.101 1.988128662109375
gcs-1  | 2024/06/04 18:43:21.102 4.376167297363281
gcs-1  | 2024/06/04 18:43:26.103 4.376502990722656
gcs-1  | 2024/06/04 18:43:31.105 4.377189636230469
gcs-1  | 2024/06/04 18:43:36.106 4.394599914550781
gcs-1  | 2024/06/04 18:43:41.106 4.396209716796875
gcs-1  | 2024/06/04 18:43:46.109 4.377449035644531
gcs-1  | 2024/06/04 18:43:51.112 4.3657379150390625
gcs-1  | 2024/06/04 18:43:56.114 4.391792297363281
gcs-1  | 2024/06/04 18:44:01.116 4.393150329589844
gcs-1  | 2024/06/04 18:44:06.118 4.379981994628906
gcs-1  | 2024/06/04 18:44:11.118 3.0070571899414062
gcs-1  | 2024/06/04 18:44:16.122 3.0190658569335938
gcs-1  | 2024/06/04 18:44:21.124 3.0153961181640625
gcs-1  | 2024/06/04 18:44:26.126 3.0196151733398438
gcs-1  | 2024/06/04 18:44:31.127 3.0075531005859375
gcs-1  | 2024/06/04 18:44:36.129 3.0203094482421875
gcs-1  | 2024/06/04 18:44:41.130 3.0154876708984375
gcs-1  | 2024/06/04 18:44:46.132 3.0289764404296875
gcs-1  | 2024/06/04 18:44:51.133 3.02105712890625
gcs-1  | 2024/06/04 18:44:56.135 3.0169143676757812
gcs-1  | 2024/06/04 18:45:01.152 3.0152587890625
gcs-1  | 2024/06/04 18:45:06.153 3.0446090698242188
gcs-1  | 2024/06/04 18:45:11.156 3.0236053466796875
gcs-1  | 2024/06/04 18:45:16.158 3.037078857421875
gcs-1  | 2024/06/04 18:45:21.159 3.031402587890625
gcs-1  | 2024/06/04 18:45:26.162 3.00067138671875
gcs-1  | 2024/06/04 18:45:31.163 3.0385284423828125
gcs-1  | 2024/06/04 18:45:36.164 3.0350189208984375
gcs-1  | 2024/06/04 18:45:41.166 3.0415420532226562
gcs-1  | 2024/06/04 18:45:46.169 3.027008056640625
gcs-1  | 2024/06/04 18:45:51.170 3.0510482788085938
gcs-1  | 2024/06/04 18:45:56.171 3.0405120849609375
gcs-1  | 2024/06/04 18:46:01.173 3.040008544921875
gcs-1  | 2024/06/04 18:46:06.174 3.0400543212890625
gcs-1  | 2024/06/04 18:46:11.176 3.0528411865234375
gcs-1  | 2024/06/04 18:46:16.179 3.0454940795898438
gcs-1  | 2024/06/04 18:46:21.180 3.0629653930664062
gcs-1  | 2024/06/04 18:46:26.181 3.064178466796875
gcs-1  | 2024/06/04 18:46:31.183 3.056488037109375
gcs-1  | 2024/06/04 18:46:36.184 3.0559768676757812
gcs-1  | 2024/06/04 18:46:41.186 3.049346923828125
gcs-1  | 2024/06/04 18:46:46.187 3.0491104125976562
gcs-1  | 2024/06/04 18:46:51.188 3.070220947265625
gcs-1  | 2024/06/04 18:46:56.189 3.0629425048828125
gcs-1  | 2024/06/04 18:47:01.190 3.0534286499023438
gcs-1  | 2024/06/04 18:47:06.191 3.0541229248046875
gcs-1  | 2024/06/04 18:47:11.193 3.063262939453125
gcs-1  | 2024/06/04 18:47:16.197 3.066314697265625
gcs-1  | 2024/06/04 18:47:21.198 3.0680618286132812
gcs-1  | 2024/06/04 18:47:26.199 3.0597457885742188
gcs-1  | 2024/06/04 18:47:31.213 3.02667236328125
gcs-1  | 2024/06/04 18:47:36.214 3.0867996215820312
gcs-1  | 2024/06/04 18:47:41.215 3.0983428955078125
gcs-1  | 2024/06/04 18:47:46.217 3.0848159790039062
gcs-1  | 2024/06/04 18:47:51.218 3.1069259643554688
gcs-1  | 2024/06/04 18:47:56.219 3.1214981079101562
gcs-1  | 2024/06/04 18:48:01.220 3.0757522583007812
gcs-1  | 2024/06/04 18:48:06.221 3.1439437866210938
gcs-1  | 2024/06/04 18:48:11.224 3.1282882690429688
gcs-1  | 2024/06/04 18:48:16.226 3.134124755859375
gcs-1  | 2024/06/04 18:48:21.227 3.1048660278320312
gcs-1  | 2024/06/04 18:48:26.227 3.1502838134765625
gcs-1  | 2024/06/04 18:48:31.228 3.1458282470703125
gcs-1  | 2024/06/04 18:48:36.229 3.1410675048828125
gcs-1  | 2024/06/04 18:48:41.237 3.1520156860351562
gcs-1  | 2024/06/04 18:48:46.239 3.1770706176757812
gcs-1  | 2024/06/04 18:48:51.240 3.1921844482421875
gcs-1  | 2024/06/04 18:48:56.241 3.1827392578125
gcs-1  | 2024/06/04 18:49:01.243 3.1824722290039062
gcs-1  | 2024/06/04 18:49:06.244 3.2339859008789062
gcs-1  | 2024/06/04 18:49:11.245 3.1619110107421875
gcs-1  | 2024/06/04 18:49:16.247 3.2211456298828125
gcs-1  | 2024/06/04 18:49:21.270 3.2269287109375
gcs-1  | 2024/06/04 18:49:26.271 3.24176025390625
gcs-1  | 2024/06/04 18:49:31.272 3.265350341796875
gcs-1  | 2024/06/04 18:49:36.274 3.272674560546875
gcs-1  | 2024/06/04 18:49:41.276 3.2856063842773438
gcs-1  | 2024/06/04 18:49:46.277 3.3036575317382812
gcs-1  | 2024/06/04 18:49:51.278 3.3234634399414062
gcs-1  | 2024/06/04 18:49:56.279 3.321624755859375
gcs-1  | 2024/06/04 18:50:01.281 3.3337173461914062
gcs-1  | 2024/06/04 18:50:06.282 3.352447509765625
gcs-1  | 2024/06/04 18:50:11.283 3.3528671264648438
gcs-1  | 2024/06/04 18:50:16.285 3.3671417236328125
gcs-1  | 2024/06/04 18:50:21.287 3.3683624267578125
gcs-1  | 2024/06/04 18:50:26.288 3.394073486328125
gcs-1  | 2024/06/04 18:50:31.290 3.3882980346679688
gcs-1  | 2024/06/04 18:50:36.291 3.4113845825195312
gcs-1  | 2024/06/04 18:50:41.298 3.3700027465820312
gcs-1  | 2024/06/04 18:50:46.298 3.4124832153320312
gcs-1  | 2024/06/04 18:50:51.300 3.3822402954101562
gcs-1  | 2024/06/04 18:50:56.302 3.4241943359375
gcs-1  | 2024/06/04 18:51:01.303 3.4392852783203125
gcs-1  | 2024/06/04 18:51:06.310 3.3993606567382812
gcs-1  | 2024/06/04 18:51:11.313 3.456268310546875
gcs-1  | 2024/06/04 18:51:16.316 3.444488525390625
gcs-1  | 2024/06/04 18:51:21.317 3.4685821533203125
gcs-1  | 2024/06/04 18:51:26.318 8.228248596191406
gcs-1  | 2024/06/04 18:51:31.385 8.261550903320312
gcs-1  | 2024/06/04 18:51:36.387 8.248344421386719
gcs-1  | 2024/06/04 18:51:41.388 8.290199279785156
gcs-1  | 2024/06/04 18:51:46.389 8.281494140625
gcs-1  | 2024/06/04 18:51:51.390 8.303192138671875
gcs-1  | 2024/06/04 18:51:56.391 8.26129150390625
gcs-1  | 2024/06/04 18:52:01.393 8.272514343261719
gcs-1  | 2024/06/04 18:52:06.396 8.297195434570312
gcs-1  | 2024/06/04 18:52:11.418 8.257728576660156
gcs-1  | 2024/06/04 18:52:16.421 8.254081726074219
gcs-1  | 2024/06/04 18:52:21.422 8.299392700195312
gcs-1  | 2024/06/04 18:52:26.424 8.278854370117188
gcs-1  | 2024/06/04 18:52:31.425 8.324920654296875
gcs-1  | 2024/06/04 18:52:36.426 8.291427612304688
gcs-1  | 2024/06/04 18:52:41.427 8.329216003417969
gcs-1  | 2024/06/04 18:52:46.428 8.279190063476562
gcs-1  | 2024/06/04 18:52:51.429 8.315376281738281
gcs-1  | 2024/06/04 18:52:56.430 8.319190979003906
gcs-1  | 2024/06/04 18:53:01.431 8.326942443847656
gcs-1  | 2024/06/04 18:53:06.433 8.319160461425781
gcs-1  | 2024/06/04 18:53:11.433 8.320426940917969
gcs-1  | 2024/06/04 18:53:16.435 8.341056823730469
gcs-1  | 2024/06/04 18:53:21.437 5.562217712402344
gcs-1  | 2024/06/04 18:53:26.440 5.5629730224609375
gcs-1  | 2024/06/04 18:53:31.441 5.592796325683594
