gcs-1  | 2024/06/04 18:58:14 server listening at [::]:50000
gcs-1  | 2024/06/04 18:58:14.414 server listening at [::]:50001
gcs-1  | 2024/06/04 18:58:14.416 0.4748687744140625
gcs-1  | 2024/06/04 18:58:19.417 0.7540206909179688
gcs-1  | 2024/06/04 18:58:24.418 1.065032958984375
gcs-1  | 2024/06/04 18:58:29.419 1.0816116333007812
gcs-1  | 2024/06/04 18:58:34.420 1.4495162963867188
gcs-1  | 2024/06/04 18:58:39.422 1.53350830078125
gcs-1  | 2024/06/04 18:58:44.423 1.61444091796875
gcs-1  | 2024/06/04 18:58:49.424 2.6472244262695312
gcs-1  | 2024/06/04 18:58:54.425 2.9524612426757812
gcs-1  | 2024/06/04 18:58:59.426 2.374725341796875
gcs-1  | 2024/06/04 18:59:04.427 2.5830154418945312
gcs-1  | 2024/06/04 18:59:09.429 2.9528121948242188
gcs-1  | 2024/06/04 18:59:14.432 3.2568206787109375
gcs-1  | 2024/06/04 18:59:19.433 3.0411911010742188
gcs-1  | 2024/06/04 18:59:24.433 2.9720611572265625
gcs-1  | 2024/06/04 18:59:29.435 3.58203125
gcs-1  | 2024/06/04 18:59:34.436 2.4860000610351562
gcs-1  | 2024/06/04 18:59:39.437 3.1765060424804688
gcs-1  | 2024/06/04 18:59:44.439 2.0571365356445312
gcs-1  | 2024/06/04 18:59:49.441 2.7280654907226562
gcs-1  | 2024/06/04 18:59:54.441 3.5274429321289062
gcs-1  | 2024/06/04 18:59:59.442 3.6893539428710938
gcs-1  | 2024/06/04 19:00:04.444 2.2642440795898438
gcs-1  | 2024/06/04 19:00:09.446 2.71295166015625
gcs-1  | 2024/06/04 19:00:14.447 6.010200500488281
gcs-1  | 2024/06/04 19:00:19.449 5.968513488769531
gcs-1  | 2024/06/04 19:00:24.450 3.9825515747070312
gcs-1  | 2024/06/04 19:00:29.450 3.7501296997070312
gcs-1  | 2024/06/04 19:00:34.451 3.5324172973632812
gcs-1  | 2024/06/04 19:00:39.453 3.3953094482421875
gcs-1  | 2024/06/04 19:00:44.456 3.1057891845703125
gcs-1  | 2024/06/04 19:00:49.458 2.8861236572265625
gcs-1  | 2024/06/04 19:00:54.459 5.432861328125
gcs-1  | 2024/06/04 19:00:59.460 5.0107574462890625
gcs-1  | 2024/06/04 19:01:04.461 4.550201416015625
gcs-1  | 2024/06/04 19:01:09.462 4.207878112792969
gcs-1  | 2024/06/04 19:01:14.462 3.9461746215820312
gcs-1  | 2024/06/04 19:01:19.463 3.7596893310546875
gcs-1  | 2024/06/04 19:01:24.465 3.5427474975585938
gcs-1  | 2024/06/04 19:01:29.465 3.2588424682617188
gcs-1  | 2024/06/04 19:01:34.466 5.787635803222656
gcs-1  | 2024/06/04 19:01:39.467 5.4891204833984375
gcs-1  | 2024/06/04 19:01:44.469 5.175819396972656
gcs-1  | 2024/06/04 19:01:49.470 4.7996063232421875
gcs-1  | 2024/06/04 19:01:54.471 4.439849853515625
