gcs-1  | 2024/06/04 19:21:27.363 0.47129058837890625
gcs-1  | 2024/06/04 19:21:32.370 0.7487564086914062
gcs-1  | 2024/06/04 19:21:37.371 0.8387985229492188
gcs-1  | 2024/06/04 19:21:42.372 3.419403076171875
gcs-1  | 2024/06/04 19:21:47.373 3.4430770874023438
gcs-1  | 2024/06/04 19:21:52.373 1.003143310546875
gcs-1  | 2024/06/04 19:21:57.374 0.9983901977539062
gcs-1  | 2024/06/04 19:22:02.375 2.0103912353515625
gcs-1  | 2024/06/04 19:22:07.377 2.3386611938476562
gcs-1  | 2024/06/04 19:22:12.378 2.3165206909179688
gcs-1  | 2024/06/04 19:22:17.380 2.5964279174804688
gcs-1  | 2024/06/04 19:22:22.381 2.657073974609375
gcs-1  | 2024/06/04 19:22:27.382 2.8733978271484375
gcs-1  | 2024/06/04 19:22:32.385 2.5427169799804688
gcs-1  | 2024/06/04 19:22:37.387 2.2776947021484375
gcs-1  | 2024/06/04 19:22:42.388 2.8539962768554688
gcs-1  | 2024/06/04 19:22:47.390 3.3134765625
gcs-1  | 2024/06/04 19:22:52.391 2.057342529296875
gcs-1  | 2024/06/04 19:22:57.392 2.6971817016601562
gcs-1  | 2024/06/04 19:23:02.393 3.2243499755859375
gcs-1  | 2024/06/04 19:23:07.395 3.4471054077148438
gcs-1  | 2024/06/04 19:23:12.395 1.925506591796875
gcs-1  | 2024/06/04 19:23:17.397 2.5724411010742188
gcs-1  | 2024/06/04 19:23:22.398 2.974029541015625
gcs-1  | 2024/06/04 19:23:27.399 3.4613037109375
gcs-1  | 2024/06/04 19:23:32.399 6.0098876953125
gcs-1  | 2024/06/04 19:23:37.400 5.898078918457031
gcs-1  | 2024/06/04 19:23:42.402 3.8481826782226562
gcs-1  | 2024/06/04 19:23:47.403 3.360137939453125
gcs-1  | 2024/06/04 19:23:52.404 3.246429443359375
gcs-1  | 2024/06/04 19:23:57.407 3.1309356689453125
gcs-1  | 2024/06/04 19:24:02.410 3.0131988525390625
gcs-1  | 2024/06/04 19:24:07.410 2.9094314575195312
gcs-1  | 2024/06/04 19:24:12.411 5.452568054199219
gcs-1  | 2024/06/04 19:24:17.412 4.906715393066406
gcs-1  | 2024/06/04 19:24:22.413 4.477287292480469
gcs-1  | 2024/06/04 19:24:27.415 4.377899169921875
gcs-1  | 2024/06/04 19:24:32.418 4.270896911621094
gcs-1  | 2024/06/04 19:24:37.419 4.158775329589844
gcs-1  | 2024/06/04 19:24:42.420 4.088165283203125
gcs-1  | 2024/06/04 19:24:47.420 3.9782638549804688
gcs-1  | 2024/06/04 19:24:52.422 3.7663192749023438
gcs-1  | 2024/06/04 19:24:57.423 3.4873809814453125
gcs-1  | 2024/06/04 19:25:02.426 3.2296524047851562
gcs-1  | 2024/06/04 19:25:07.427 5.927833557128906
gcs-1  | 2024/06/04 19:25:12.428 5.4492340087890625
gcs-1  | 2024/06/04 19:25:17.429 7.936981201171875
gcs-1  | 2024/06/04 19:25:22.432 10.604972839355469
gcs-1  | 2024/06/04 19:25:27.432 6.833213806152344
gcs-1  | 2024/06/04 19:25:32.434 9.40277099609375
gcs-1  | 2024/06/04 19:25:37.435 12.065711975097656
gcs-1  | 2024/06/04 19:25:42.436 6.60052490234375
gcs-1  | 2024/06/04 19:25:47.437 4.7006988525390625
gcs-1  | 2024/06/04 19:25:52.439 7.328437805175781
gcs-1  | 2024/06/04 19:25:57.440 5.4693603515625
gcs-1  | 2024/06/04 19:26:02.439 7.106376647949219
gcs-1  | 2024/06/04 19:26:07.440 4.885688781738281
gcs-1  | 2024/06/04 19:26:12.441 7.247566223144531
gcs-1  | 2024/06/04 19:26:17.442 5.273231506347656
gcs-1  | 2024/06/04 19:26:22.443 7.742225646972656
gcs-1  | 2024/06/04 19:26:27.444 5.845916748046875
gcs-1  | 2024/06/04 19:26:32.448 8.254135131835938
gcs-1  | 2024/06/04 19:26:37.449 6.340934753417969
gcs-1  | 2024/06/04 19:26:42.449 8.846717834472656
gcs-1  | 2024/06/04 19:26:47.450 6.9485931396484375
gcs-1  | 2024/06/04 19:26:52.452 5.043464660644531
gcs-1  | 2024/06/04 19:26:57.453 7.529380798339844
gcs-1  | 2024/06/04 19:27:02.454 5.5513153076171875
gcs-1  | 2024/06/04 19:27:07.455 7.921234130859375
gcs-1  | 2024/06/04 19:27:12.455 5.634376525878906
gcs-1  | 2024/06/04 19:27:17.457 8.166412353515625
gcs-1  | 2024/06/04 19:27:22.460 5.962432861328125
gcs-1  | 2024/06/04 19:27:27.460 8.487312316894531
gcs-1  | 2024/06/04 19:27:32.462 6.260498046875
gcs-1  | 2024/06/04 19:27:37.463 8.73968505859375
gcs-1  | 2024/06/04 19:27:42.464 6.531364440917969
gcs-1  | 2024/06/04 19:27:47.465 9.033126831054688
gcs-1  | 2024/06/04 19:27:52.468 6.6288299560546875
gcs-1  | 2024/06/04 19:27:57.469 9.079505920410156
gcs-1  | 2024/06/04 19:28:02.471 6.7116241455078125
gcs-1  | 2024/06/04 19:28:07.473 9.220306396484375
gcs-1  | 2024/06/04 19:28:12.676 6.7909088134765625
gcs-1  | 2024/06/04 19:28:17.677 8.9853515625
gcs-1  | 2024/06/04 19:28:22.679 6.484397888183594
gcs-1  | 2024/06/04 19:28:27.680 8.861106872558594
gcs-1  | 2024/06/04 19:28:32.681 6.506874084472656
gcs-1  | 2024/06/04 19:28:37.682 9.062728881835938
gcs-1  | 2024/06/04 19:28:42.683 6.430274963378906
gcs-1  | 2024/06/04 19:28:47.684 8.7381591796875
gcs-1  | 2024/06/04 19:28:52.685 6.049659729003906
gcs-1  | 2024/06/04 19:28:57.687 8.569046020507812
gcs-1  | 2024/06/04 19:29:02.685 13.198020935058594
gcs-1  | 2024/06/04 19:29:07.686 15.540107727050781
gcs-1  | 2024/06/04 19:29:12.687 17.877342224121094
gcs-1  | 2024/06/04 19:29:17.688 12.938446044921875
gcs-1  | 2024/06/04 19:29:22.690 15.421417236328125
gcs-1  | 2024/06/04 19:29:27.690 17.76190948486328
gcs-1  | 2024/06/04 19:29:32.694 20.038368225097656
gcs-1  | 2024/06/04 19:29:37.696 22.490615844726562
gcs-1  | 2024/06/04 19:29:42.697 10.978309631347656
gcs-1  | 2024/06/04 19:29:47.698 13.442184448242188
gcs-1  | 2024/06/04 19:29:52.699 15.766464233398438
gcs-1  | 2024/06/04 19:29:57.701 18.161224365234375
gcs-1  | 2024/06/04 19:30:02.703 9.691146850585938
gcs-1  | 2024/06/04 19:30:07.704 11.990638732910156
gcs-1  | 2024/06/04 19:30:12.706 14.3824462890625
gcs-1  | 2024/06/04 19:30:17.708 8.759857177734375
