gcs-1  | 2024/06/04 19:42:41 server listening at [::]:50000
gcs-1  | 2024/06/04 19:42:41.847 server listening at [::]:50001
gcs-1  | 2024/06/04 19:42:41.851 0.541778564453125
gcs-1  | 2024/06/04 19:42:42.849 Error flushing to disk: incomplete input
gcs-1  | 2024/06/04 19:42:43.848 Error flushing to disk: incomplete input
gcs-1  | 2024/06/04 19:42:44.850 Error flushing to disk: incomplete input
gcs-1  | 2024/06/04 19:42:45.849 Error flushing to disk: incomplete input
gcs-1  | 2024/06/04 19:42:46.848 Error flushing to disk: incomplete input
gcs-1  | 2024/06/04 19:42:46.851 0.7560653686523438
gcs-1  | 2024/06/04 19:42:51.853 1.3027725219726562
gcs-1  | 2024/06/04 19:42:56.853 1.3161163330078125
gcs-1  | 2024/06/04 19:43:01.861 1.3270416259765625
gcs-1  | 2024/06/04 19:43:06.863 1.3676834106445312
gcs-1  | 2024/06/04 19:43:11.864 1.397064208984375
gcs-1  | 2024/06/04 19:43:16.873 1.5728912353515625
gcs-1  | 2024/06/04 19:43:21.874 1.5522232055664062
gcs-1  | 2024/06/04 19:43:26.876 1.4987716674804688
gcs-1  | 2024/06/04 19:43:31.879 1.5016555786132812
gcs-1  | 2024/06/04 19:43:36.881 1.460968017578125
gcs-1  | 2024/06/04 19:43:41.881 1.4944305419921875
gcs-1  | 2024/06/04 19:43:46.883 1.909912109375
gcs-1  | 2024/06/04 19:43:51.883 1.6782989501953125
gcs-1  | 2024/06/04 19:43:56.885 1.6936721801757812
gcs-1  | 2024/06/04 19:44:01.887 1.6722183227539062
gcs-1  | 2024/06/04 19:44:06.890 1.7350997924804688
gcs-1  | 2024/06/04 19:44:11.891 1.7082443237304688
gcs-1  | 2024/06/04 19:44:16.893 1.725311279296875
gcs-1  | 2024/06/04 19:44:20.160 Error flushing to disk: incomplete input
gcs-1  | 2024/06/04 19:44:21.895 1.7982254028320312
gcs-1  | 2024/06/04 19:44:26.897 1.6686325073242188
gcs-1  | 2024/06/04 19:44:31.900 1.7048492431640625
gcs-1  | 2024/06/04 19:44:36.900 1.8752365112304688
gcs-1  | 2024/06/04 19:44:41.902 2.2953033447265625
gcs-1  | 2024/06/04 19:44:46.903 2.2530364990234375
gcs-1  | 2024/06/04 19:44:51.903 1.9637451171875
gcs-1  | 2024/06/04 19:44:56.905 1.8707351684570312
gcs-1  | 2024/06/04 19:45:01.906 2.0524215698242188
gcs-1  | 2024/06/04 19:45:06.907 2.0872573852539062
gcs-1  | 2024/06/04 19:45:11.909 1.9512405395507812
gcs-1  | 2024/06/04 19:45:16.910 2.0131683349609375
gcs-1  | 2024/06/04 19:45:21.911 1.9726409912109375
gcs-1  | 2024/06/04 19:45:26.912 1.9984664916992188
gcs-1  | 2024/06/04 19:45:31.915 2.1372756958007812
gcs-1  | 2024/06/04 19:45:36.917 2.053253173828125
gcs-1  | 2024/06/04 19:45:41.919 2.1457443237304688
gcs-1  | 2024/06/04 19:45:46.920 2.1833419799804688
gcs-1  | 2024/06/04 19:45:51.923 2.18670654296875
gcs-1  | 2024/06/04 19:45:56.924 2.1562881469726562
gcs-1  | 2024/06/04 19:46:01.926 2.2276992797851562
gcs-1  | 2024/06/04 19:46:06.929 2.1830291748046875
gcs-1  | 2024/06/04 19:46:11.931 2.2578582763671875
gcs-1  | 2024/06/04 19:46:16.932 2.3423690795898438
gcs-1  | 2024/06/04 19:46:21.933 3.4385833740234375
gcs-1  | 2024/06/04 19:46:26.934 3.4460372924804688
gcs-1  | 2024/06/04 19:46:31.936 3.4427566528320312
gcs-1  | 2024/06/04 19:46:36.937 3.405426025390625
gcs-1  | 2024/06/04 19:46:41.939 2.6701431274414062
gcs-1  | 2024/06/04 19:46:46.939 2.7786788940429688
gcs-1  | 2024/06/04 19:46:51.942 2.7306900024414062
gcs-1  | 2024/06/04 19:46:56.943 2.7115554809570312
gcs-1  | 2024/06/04 19:47:01.946 2.7729339599609375
gcs-1  | 2024/06/04 19:47:06.947 2.6181869506835938
gcs-1  | 2024/06/04 19:47:11.948 2.6241455078125
gcs-1  | 2024/06/04 19:47:16.950 2.7991256713867188
gcs-1  | 2024/06/04 19:47:21.951 2.685302734375
gcs-1  | 2024/06/04 19:47:26.953 2.6424407958984375
gcs-1  | 2024/06/04 19:47:31.954 2.83978271484375
gcs-1  | 2024/06/04 19:47:36.955 2.7719802856445312
gcs-1  | 2024/06/04 19:47:41.957 2.825897216796875
gcs-1  | 2024/06/04 19:47:46.958 2.7015762329101562
gcs-1  | 2024/06/04 19:47:51.961 2.6591110229492188
gcs-1  | 2024/06/04 19:47:56.964 2.637481689453125
gcs-1  | 2024/06/04 19:48:01.966 2.5851974487304688
gcs-1  | 2024/06/04 19:48:06.967 2.6280364990234375
gcs-1  | 2024/06/04 19:48:11.967 2.8046035766601562
gcs-1  | 2024/06/04 19:48:16.968 2.7517776489257812
gcs-1  | 2024/06/04 19:48:21.969 2.7795562744140625
gcs-1  | 2024/06/04 19:48:26.970 2.7211380004882812
gcs-1  | 2024/06/04 19:48:31.973 2.813690185546875
gcs-1  | 2024/06/04 19:48:36.974 2.6896209716796875
gcs-1  | 2024/06/04 19:48:41.975 2.9103164672851562
gcs-1  | 2024/06/04 19:48:46.977 2.8389129638671875
gcs-1  | 2024/06/04 19:48:51.978 2.7414321899414062
gcs-1  | 2024/06/04 19:48:56.979 2.7215194702148438
gcs-1  | 2024/06/04 19:49:01.980 2.7321243286132812
gcs-1  | 2024/06/04 19:49:06.981 2.8215179443359375
gcs-1  | 2024/06/04 19:49:11.982 2.7779006958007812
gcs-1  | 2024/06/04 19:49:16.984 2.6975250244140625
gcs-1  | 2024/06/04 19:49:21.988 2.7195587158203125
gcs-1  | 2024/06/04 19:49:26.991 2.7353515625
gcs-1  | 2024/06/04 19:49:31.996 5.162193298339844
gcs-1  | 2024/06/04 19:49:36.997 5.352867126464844
gcs-1  | 2024/06/04 19:49:41.998 5.135749816894531
gcs-1  | 2024/06/04 19:49:47.001 5.236991882324219
gcs-1  | 2024/06/04 19:49:52.002 5.279327392578125
gcs-1  | 2024/06/04 19:49:57.003 5.358299255371094
gcs-1  | 2024/06/04 19:50:02.005 5.383903503417969
gcs-1  | 2024/06/04 19:50:07.007 5.256683349609375
gcs-1  | 2024/06/04 19:50:12.008 3.896575927734375
gcs-1  | 2024/06/04 19:50:17.009 3.8473968505859375
gcs-1  | 2024/06/04 19:50:22.010 3.86724853515625
gcs-1  | 2024/06/04 19:50:27.011 3.9947586059570312
gcs-1  | 2024/06/04 19:50:32.010 4.004676818847656
gcs-1  | 2024/06/04 19:50:37.010 3.9845046997070312
gcs-1  | 2024/06/04 19:50:42.013 3.6995315551757812
gcs-1  | 2024/06/04 19:50:47.015 3.89434814453125
gcs-1  | 2024/06/04 19:50:52.015 3.8594207763671875
gcs-1  | 2024/06/04 19:50:57.016 3.8529205322265625
gcs-1  | 2024/06/04 19:51:02.021 3.822540283203125
gcs-1  | 2024/06/04 19:51:07.022 3.98785400390625
gcs-1  | 2024/06/04 19:51:12.023 3.8061752319335938
gcs-1  | 2024/06/04 19:51:17.025 3.90289306640625
gcs-1  | 2024/06/04 19:51:22.026 3.8698196411132812
gcs-1  | 2024/06/04 19:51:27.028 3.9017105102539062
gcs-1  | 2024/06/04 19:51:32.029 3.9386215209960938
gcs-1  | 2024/06/04 19:51:37.031 3.9354934692382812
gcs-1  | 2024/06/04 19:51:42.032 3.8931045532226562
gcs-1  | 2024/06/04 19:51:47.033 4.007530212402344
gcs-1  | 2024/06/04 19:51:52.034 3.92266845703125
gcs-1  | 2024/06/04 19:51:57.036 3.8879776000976562
gcs-1  | 2024/06/04 19:52:02.038 3.94140625
gcs-1  | 2024/06/04 19:52:07.039 3.96728515625
gcs-1  | 2024/06/04 19:52:12.040 4.01123046875
gcs-1  | 2024/06/04 19:52:17.042 4.004814147949219
gcs-1  | 2024/06/04 19:52:22.043 3.931427001953125
gcs-1  | 2024/06/04 19:52:27.044 3.9497604370117188
gcs-1  | 2024/06/04 19:52:32.046 4.100624084472656
gcs-1  | 2024/06/04 19:52:37.049 3.8479232788085938
gcs-1  | 2024/06/04 19:52:42.051 3.8843002319335938
gcs-1  | 2024/06/04 19:52:47.054 3.8787612915039062
gcs-1  | 2024/06/04 19:52:49.385 Error flushing to disk: incomplete input
gcs-1  | 2024/06/04 19:52:52.055 3.9020767211914062
gcs-1  | 2024/06/04 19:52:53.949 Error flushing to disk: incomplete input
gcs-1  | 2024/06/04 19:52:57.057 3.3466644287109375
gcs-1  | 2024/06/04 19:53:02.106 3.7256851196289062
gcs-1  | 2024/06/04 19:53:07.109 3.9135284423828125
gcs-1  | 2024/06/04 19:53:12.109 3.94085693359375
gcs-1  | 2024/06/04 19:53:17.112 3.9469451904296875
gcs-1  | 2024/06/04 19:53:22.113 4.1459503173828125
gcs-1  | 2024/06/04 19:53:27.114 4.072853088378906
gcs-1  | 2024/06/04 19:53:32.115 3.9909515380859375
gcs-1  | 2024/06/04 19:53:37.116 3.9355239868164062
gcs-1  | 2024/06/04 19:53:42.117 3.9438705444335938
gcs-1  | 2024/06/04 19:53:47.119 4.1521148681640625
gcs-1  | 2024/06/04 19:53:52.120 4.1165771484375
gcs-1  | 2024/06/04 19:53:57.122 3.9645462036132812
gcs-1  | 2024/06/04 19:54:02.123 4.008697509765625
gcs-1  | 2024/06/04 19:54:07.126 3.9752349853515625
gcs-1  | 2024/06/04 19:54:12.127 4.1572265625
gcs-1  | 2024/06/04 19:54:14.593 Error flushing to disk: incomplete input
gcs-1  | 2024/06/04 19:54:17.135 3.5205612182617188
gcs-1  | 2024/06/04 19:54:19.404 Error flushing to disk: incomplete input
gcs-1  | 2024/06/04 19:54:22.136 4.158515930175781
gcs-1  | 2024/06/04 19:54:27.137 4.0652313232421875
gcs-1  | 2024/06/04 19:54:31.919 Error flushing to disk: incomplete input
gcs-1  | 2024/06/04 19:54:32.127 3.5928192138671875
gcs-1  | 2024/06/04 19:54:37.133 3.4572525024414062
gcs-1  | 2024/06/04 19:54:42.134 4.091117858886719
gcs-1  | 2024/06/04 19:54:47.136 4.213432312011719
gcs-1  | 2024/06/04 19:54:52.136 4.0318450927734375
gcs-1  | 2024/06/04 19:54:57.138 4.234596252441406
gcs-1  | 2024/06/04 19:55:02.159 4.1728057861328125
gcs-1  | 2024/06/04 19:55:07.161 4.115531921386719
gcs-1  | 2024/06/04 19:55:12.161 4.257545471191406
gcs-1  | 2024/06/04 19:55:17.164 4.3677978515625
gcs-1  | 2024/06/04 19:55:22.164 4.366447448730469
gcs-1  | 2024/06/04 19:55:27.166 4.489662170410156
gcs-1  | 2024/06/04 19:55:32.168 4.238433837890625
gcs-1  | 2024/06/04 19:55:37.170 4.231101989746094
gcs-1  | 2024/06/04 19:55:42.171 4.193916320800781
gcs-1  | 2024/06/04 19:55:47.172 4.2407073974609375
gcs-1  | 2024/06/04 19:55:52.175 4.24365234375
gcs-1  | 2024/06/04 19:55:57.178 4.167854309082031
gcs-1  | 2024/06/04 19:56:02.179 9.159080505371094
gcs-1  | 2024/06/04 19:56:07.180 9.027717590332031
gcs-1  | 2024/06/04 19:56:11.936 Error flushing to disk: incomplete input
gcs-1  | 2024/06/04 19:56:12.181 8.815505981445312
gcs-1  | 2024/06/04 19:56:13.885 Error flushing to disk: incomplete input
gcs-1  | 2024/06/04 19:56:17.183 9.644462585449219
gcs-1  | 2024/06/04 19:56:22.184 9.179283142089844
gcs-1  | 2024/06/04 19:56:27.185 9.074821472167969
gcs-1  | 2024/06/04 19:56:32.193 9.318168640136719
gcs-1  | 2024/06/04 19:56:37.194 9.010856628417969
gcs-1  | 2024/06/04 19:56:42.195 9.003768920898438
gcs-1  | 2024/06/04 19:56:47.197 9.423927307128906
gcs-1  | 2024/06/04 19:56:52.199 9.155105590820312
gcs-1  | 2024/06/04 19:56:57.200 9.069099426269531
gcs-1  | 2024/06/04 19:57:02.201 9.386749267578125
gcs-1  | 2024/06/04 19:57:07.203 9.30413818359375
gcs-1  | 2024/06/04 19:57:12.206 9.159759521484375
gcs-1  | 2024/06/04 19:57:17.207 6.3763427734375
gcs-1  | 2024/06/04 19:57:22.208 6.4787445068359375
gcs-1  | 2024/06/04 19:57:27.208 6.401405334472656
gcs-1  | 2024/06/04 19:57:32.219 5.834190368652344
gcs-1  | 2024/06/04 19:57:37.221 6.562278747558594
gcs-1  | 2024/06/04 19:57:42.223 6.282386779785156
gcs-1  | 2024/06/04 19:57:47.223 6.442680358886719
gcs-1  | 2024/06/04 19:57:52.226 6.404937744140625
gcs-1  | 2024/06/04 19:57:57.226 6.2392578125
gcs-1  | 2024/06/04 19:58:02.228 6.125709533691406
gcs-1  | 2024/06/04 19:58:07.253 6.2435150146484375
gcs-1  | 2024/06/04 19:58:09.190 Error flushing to disk: incomplete input
gcs-1  | 2024/06/04 19:58:12.255 6.359710693359375
gcs-1  | 2024/06/04 19:58:17.258 6.2640838623046875
gcs-1  | 2024/06/04 19:58:22.259 6.612174987792969
gcs-1  | 2024/06/04 19:58:27.261 6.179771423339844
gcs-1  | 2024/06/04 19:58:32.263 6.527679443359375
gcs-1  | 2024/06/04 19:58:37.266 6.354972839355469
gcs-1  | 2024/06/04 19:58:42.267 6.275825500488281
gcs-1  | 2024/06/04 19:58:47.268 6.4571990966796875
gcs-1  | 2024/06/04 19:58:52.273 6.233741760253906
gcs-1  | 2024/06/04 19:58:54.893 Error flushing to disk: incomplete input
gcs-1  | 2024/06/04 19:58:57.278 6.1600494384765625
gcs-1  | 2024/06/04 19:59:02.277 6.147499084472656
gcs-1  | 2024/06/04 19:59:07.279 6.4554595947265625
gcs-1  | 2024/06/04 19:59:12.280 6.414337158203125
gcs-1  | 2024/06/04 19:59:17.281 6.2513885498046875
gcs-1  | 2024/06/04 19:59:22.282 6.390953063964844
gcs-1  | 2024/06/04 19:59:27.284 6.281791687011719
gcs-1  | 2024/06/04 19:59:32.289 6.332313537597656
gcs-1  | 2024/06/04 19:59:37.375 6.100608825683594
